model,game,opponent_strategy,framing,run_id,round,llm_action,opponent_action,llm_payoff,opponent_payoff,raw_response,temperature,opponent_model,perspective
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,1,D,C,10,0,B,0,claude-haiku,player1
claude-haiku,prisoners_dilemma,LLM,neutral,1,1,C,D,0,10,A,0,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,1,C,C,9,9,A,1,claude-haiku,player1
claude-haiku,prisoners_dilemma,LLM,neutral,1,1,C,C,9,9,A,1,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,2,C,C,9,9,A,1,claude-haiku,player1
claude-haiku,prisoners_dilemma,LLM,neutral,1,2,C,C,9,9,A,1,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,3,C,C,9,9,A,1,claude-haiku,player1
claude-haiku,prisoners_dilemma,LLM,neutral,1,3,C,C,9,9,A,1,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,4,C,C,9,9,A,1,claude-haiku,player1
claude-haiku,prisoners_dilemma,LLM,neutral,1,4,C,C,9,9,A,1,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,5,C,C,9,9,A,1,claude-haiku,player1
claude-haiku,prisoners_dilemma,LLM,neutral,1,5,C,C,9,9,A,1,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,6,C,C,9,9,A,1,claude-haiku,player1
claude-haiku,prisoners_dilemma,LLM,neutral,1,6,C,C,9,9,A,1,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,7,C,C,9,9,A,1,claude-haiku,player1
claude-haiku,prisoners_dilemma,LLM,neutral,1,7,C,C,9,9,A,1,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,8,C,C,9,9,A,1,claude-haiku,player1
claude-haiku,prisoners_dilemma,LLM,neutral,1,8,C,C,9,9,A,1,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,9,C,C,9,9,A,1,claude-haiku,player1
claude-haiku,prisoners_dilemma,LLM,neutral,1,9,C,C,9,9,A,1,gpt-4o-mini,player2
gpt-4o-mini,prisoners_dilemma,LLM,neutral,1,10,C,C,9,9,A,1,claude-haiku,player1
