model,game,framing,run_id,round,llm_number,random_numbers,mean,target,winner_number,llm_won,payoff,raw_response,temperature,num_players,num_rounds
gpt-4o-mini,beauty_contest,neutral,1,1,33,81|14|3|94,45.0,30.0,33,1,1,33,0,5,1
gpt-4o-mini,beauty_contest,neutral,1,1,33,35|31|28|17,28.8,19.2,17,0,0,33,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,2,16,94|13|86|94,60.6,40.4,16,1,1,16,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,3,15,69|11|75|54,44.8,29.8667,15,1,1,15,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,4,10,4|3|11|27,11.0,7.3333,10,1,1,10,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,5,10,29|64|77|3,36.6,24.4,29,0,0,10,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,6,12,71|25|91|83,56.4,37.6,25,0,0,12,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,7,25,89|69|53|28,52.8,35.2,28,0,0,25,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,8,20,57|75|35|0,37.4,24.9333,20,1,1,20,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,9,15,97|20|89|54,55.0,36.6667,20,0,0,15,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,10,20,43|35|19|27,28.8,19.2,19,0,0,20,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,11,18,97|43|13|11,36.4,24.2667,18,1,1,18,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,12,18,48|12|45|44,33.4,22.2667,18,1,1,18,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,13,18,77|33|5|93,45.2,30.1333,33,0,0,18,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,14,18,58|68|15|48,41.4,27.6,18,1,1,18,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,15,18,10|70|37|80,43.0,28.6667,37,0,0,18,1,5,20
gpt-4o-mini,beauty_contest,neutral,1,16,18,79|46|73|24,48.0,32.0,24,0,0,18,1,5,20
