proposer_model,responder_model,game,framing,run_id,offer,response,payoff_proposer,payoff_responder,raw_proposer,raw_responder,temperature
claude-haiku,claude-haiku,ultimatum_game,neutral,1,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,2,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,3,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,4,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,5,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,6,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,7,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,8,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,9,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,10,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,11,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,12,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,13,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,14,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,15,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,16,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,17,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,18,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,19,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,20,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,21,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,22,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,23,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,24,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,25,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,26,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,27,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,28,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,29,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
claude-haiku,claude-haiku,ultimatum_game,neutral,30,50,ACCEPT,50,50,[DRY RUN],[DRY RUN],0.7
