model,game,framing,run_id,amount_shared,amount_kept,payoff_dictator,payoff_receiver,raw_response,temperature
claude-haiku,dictator_game,neutral,1,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,2,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,3,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,4,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,5,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,6,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,7,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,8,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,9,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,10,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,11,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,12,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,13,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,14,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,15,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,16,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,17,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,18,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,19,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,20,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,21,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,22,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,23,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,24,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,25,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,26,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,27,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,28,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,29,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,neutral,30,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,1,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,2,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,3,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,4,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,5,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,6,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,7,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,8,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,9,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,10,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,11,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,12,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,13,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,14,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,15,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,16,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,17,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,18,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,19,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,20,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,21,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,22,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,23,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,24,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,25,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,26,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,27,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,28,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,29,0,100,100,0,[DRY RUN],0.7
claude-haiku,dictator_game,competitive,30,0,100,100,0,[DRY RUN],0.7
